"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2001","EQ","224.90","225.75","222.00","222.80","222.85","222.25","223.52","295.00","142.00",100359,"22,432,074.85",
"29-Dec-2000","EQ","221.00","224.75","220.00","220.05","222.25","222.80","222.73","295.00","142.00",180270,"40,152,116.30",
"28-Dec-2000","EQ","218.70","224.95","218.70","218.25","220.00","220.05","221.21","295.00","142.00",175348,"38,788,185.10",
"27-Dec-2000","EQ","215.50","220.00","215.50","215.35","218.75","218.25","218.32","295.00","142.00",71141,"15,531,298.70",
"26-Dec-2000","EQ","215.15","219.00","212.40","216.25","215.25","215.35","215.01","295.00","142.00",190046,"40,862,204.85",
"22-Dec-2000","EQ","219.90","220.00","215.65","217.65","215.70","216.25","216.87","295.00","142.00",106109,"23,012,067.05",
"21-Dec-2000","EQ","217.00","220.50","215.00","219.95","219.00","217.65","217.23","295.00","142.00",137770,"29,928,384.80",
"20-Dec-2000","EQ","217.00","221.90","215.50","215.05","220.85","219.95","219.65","295.00","142.00",177651,"39,021,374.20",
"19-Dec-2000","EQ","217.45","219.05","214.05","217.10","216.00","215.05","215.56","295.00","142.00",263238,"56,742,980.05",
"18-Dec-2000","EQ","213.05","219.90","213.05","219.75","217.00","217.10","216.88","295.00","142.00",138443,"30,025,095.60",
"15-Dec-2000","EQ","232.00","232.00","218.80","229.25","219.15","219.75","222.03","295.00","142.00",224568,"49,860,703.60",
"14-Dec-2000","EQ","235.00","237.00","228.00","234.50","228.00","229.25","232.35","295.00","142.00",174675,"40,585,119.15",
"13-Dec-2000","EQ","229.50","244.00","229.10","228.60","235.00","234.50","234.99","295.00","142.00",496545,"116,683,074.90",
"12-Dec-2000","EQ","225.00","231.95","225.00","222.60","228.00","228.60","228.96","295.00","142.00",456843,"104,600,032.95",
"11-Dec-2000","EQ","221.00","224.60","220.00","219.15","221.90","222.60","222.87","295.00","141.00",158635,"35,355,087.60",
"08-Dec-2000","EQ","219.00","221.50","218.05","218.25","219.65","219.15","219.78","295.00","141.00",175181,"38,501,895.30",
"07-Dec-2000","EQ","219.25","220.00","217.50","219.95","218.25","218.25","218.72","295.00","141.00",81015,"17,719,712.20",
"06-Dec-2000","EQ","218.00","229.90","218.00","214.15","219.00","219.95","219.91","295.00","141.00",236651,"52,040,839.05",
"05-Dec-2000","EQ","217.90","217.90","213.00","216.35","215.00","214.15","214.99","295.00","141.00",227174,"48,840,628.10",
"04-Dec-2000","EQ","215.00","218.90","215.00","216.25","216.60","216.35","216.85","295.00","102.05",108820,"23,597,806.65",
"01-Dec-2000","EQ","220.25","220.25","210.00","221.15","216.00","216.25","215.22","295.00","102.05",365183,"78,593,371.25",
"30-Nov-2000","EQ","223.85","226.00","218.50","222.05","221.00","221.15","221.53","295.00","102.05",122224,"27,076,792.95",
"29-Nov-2000","EQ","239.40","239.40","219.15","221.65","222.75","222.05","221.81","295.00","102.05",155730,"34,542,829.35",
"28-Nov-2000","EQ","225.90","226.75","220.00","225.75","222.00","221.65","223.32","295.00","102.05",184557,"41,214,354.45",
"27-Nov-2000","EQ","224.65","226.50","223.25","223.70","225.95","225.75","225.24","295.00","89.00",167926,"37,824,180.45",
"24-Nov-2000","EQ","219.00","225.05","218.15","216.85","224.00","223.70","222.86","295.00","89.00",169502,"37,775,726.90",
"23-Nov-2000","EQ","223.05","224.50","214.05","224.10","218.00","216.85","217.71","295.00","89.00",203242,"44,248,532.25",
"22-Nov-2000","EQ","229.90","229.90","222.00","224.70","224.00","224.10","225.42","295.00","89.00",154451,"34,816,866.10",
