"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2003","EQ","219.90","219.90","215.00","216.05","215.00","215.60","216.95","255.00","186.00",18752,"4,068,153.05",
"31-Dec-2002","EQ","213.10","219.90","211.00","214.20","219.00","216.05","214.45","255.00","186.00",130035,"27,885,898.95",
"30-Dec-2002","EQ","217.30","217.95","213.10","218.55","215.00","214.20","214.88","255.00","186.00",33827,"7,268,576.75",
"27-Dec-2002","EQ","217.30","219.50","217.30","218.00","218.05","218.55","218.26","255.00","186.00",207767,"45,346,529.85",
"26-Dec-2002","EQ","219.50","219.75","218.00","218.45","218.20","218.00","218.27","255.00","186.00",33996,"7,420,242.75",
"24-Dec-2002","EQ","219.30","220.75","218.00","219.75","218.95","218.45","219.63","255.00","186.00",83455,"18,329,338.45",
"23-Dec-2002","EQ","220.75","223.00","218.00","220.45","218.00","219.75","220.58","255.00","186.00",87463,"19,292,930.55",
"20-Dec-2002","EQ","218.75","222.00","217.25","218.05","220.25","220.45","219.61","255.00","186.00",151988,"33,378,788.30",
"19-Dec-2002","EQ","215.00","218.90","212.80","217.85","218.50","218.05","216.98","255.00","186.00",197377,"42,827,532.90",
"18-Dec-2002","EQ","216.00","219.90","212.35","215.05","215.25","217.85","217.05","255.00","186.00",267483,"58,057,154.75",
"17-Dec-2002","EQ","211.00","215.90","205.05","209.50","215.00","215.05","211.74","255.00","186.00",222956,"47,209,199.60",
"16-Dec-2002","EQ","205.00","215.55","205.00","202.85","209.90","209.50","210.40","255.00","186.00",345437,"72,680,544.45",
"13-Dec-2002","EQ","197.00","204.80","197.00","194.05","203.00","202.85","201.51","255.00","186.00",502623,"101,281,109.70",
"12-Dec-2002","EQ","190.00","197.50","189.20","188.00","197.00","194.05","191.65","255.00","186.00",311628,"59,723,839.35",
"11-Dec-2002","EQ","190.25","191.85","187.30","190.00","188.00","188.00","188.74","255.00","186.00",84652,"15,976,947.10",
"10-Dec-2002","EQ","195.10","195.25","188.00","196.30","189.10","190.00","190.81","255.00","186.00",141389,"26,978,462.30",
"09-Dec-2002","EQ","190.25","200.00","190.25","198.30","195.75","196.30","197.57","255.00","186.00",101049,"19,964,013.80",
