"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2010","EQ","2,305.00","2,365.00","2,292.05","2,305.50","2,340.15","2,346.35","2,348.16","2,539.90","1,549.00",824891,"1,936,978,223.05",
"30-Dec-2010","EQ","2,336.20","2,343.40","2,288.05","2,327.80","2,294.00","2,305.50","2,306.42","2,539.90","1,549.00",725235,"1,672,695,736.30",
"29-Dec-2010","EQ","2,256.00","2,336.80","2,253.55","2,256.15","2,334.05","2,327.80","2,308.41","2,539.90","1,549.00",807104,"1,863,125,874.10",
"28-Dec-2010","EQ","2,223.90","2,268.70","2,215.15","2,213.70","2,264.55","2,256.15","2,241.45","2,539.90","1,549.00",467503,"1,047,886,162.70",
"27-Dec-2010","EQ","2,219.00","2,230.00","2,197.10","2,218.40","2,212.50","2,213.70","2,211.43","2,539.90","1,549.00",377063,"833,846,742.05",
"24-Dec-2010","EQ","2,189.00","2,224.75","2,175.00","2,190.95","2,219.00","2,218.40","2,203.01","2,539.90","1,549.00",351671,"774,733,270.20",
"23-Dec-2010","EQ","2,180.00","2,204.00","2,173.95","2,178.80","2,189.00","2,190.95","2,191.81","2,539.90","1,549.00",326327,"715,248,308.65",
"22-Dec-2010","EQ","2,233.00","2,240.00","2,170.05","2,214.10","2,176.50","2,178.80","2,203.94","2,539.90","1,549.00",750324,"1,653,665,619.90",
"21-Dec-2010","EQ","2,173.00","2,219.05","2,171.90","2,172.50","2,216.00","2,214.10","2,206.82","2,539.90","1,549.00",617558,"1,362,838,134.75",
"20-Dec-2010","EQ","2,199.80","2,199.80","2,151.45","2,200.80","2,169.35","2,172.50","2,173.13","2,539.90","1,549.00",516122,"1,121,598,778.35",
"16-Dec-2010","EQ","2,163.00","2,219.60","2,150.00","2,162.90","2,192.50","2,200.80","2,180.32","2,539.90","1,549.00",975918,"2,127,815,701.40",
"15-Dec-2010","EQ","2,230.00","2,230.00","2,150.00","2,238.25","2,150.55","2,162.90","2,188.88","2,539.90","1,549.00",1121021,"2,453,775,708.85",
"14-Dec-2010","EQ","2,247.00","2,275.90","2,212.00","2,239.00","2,236.00","2,238.25","2,240.03","2,539.90","1,549.00",592208,"1,326,565,804.10",
"13-Dec-2010","EQ","2,243.00","2,245.00","2,181.40","2,222.35","2,230.75","2,239.00","2,217.44","2,539.90","1,549.00",791168,"1,754,369,047.20",
"10-Dec-2010","EQ","2,200.00","2,232.25","2,170.30","2,232.00","2,228.10","2,222.35","2,200.02","2,539.90","1,549.00",2062123,"4,536,719,235.90",
"09-Dec-2010","EQ","2,273.15","2,284.40","2,219.30","2,280.45","2,235.35","2,232.00","2,241.00","2,539.90","1,549.00",1828392,"4,097,423,956.15",
"08-Dec-2010","EQ","2,340.00","2,340.00","2,265.20","2,351.65","2,280.00","2,280.45","2,285.05","2,539.90","1,549.00",1174422,"2,683,615,466.30",
"07-Dec-2010","EQ","2,380.00","2,390.00","2,328.50","2,383.25","2,360.00","2,351.65","2,347.35","2,539.90","1,549.00",859735,"2,018,096,130.45",
"06-Dec-2010","EQ","2,420.00","2,425.00","2,375.25","2,395.65","2,380.00","2,383.25","2,403.83","2,539.90","1,549.00",468156,"1,125,368,297.80",
"03-Dec-2010","EQ","2,395.00","2,400.00","2,372.00","2,391.75","2,400.00","2,395.65","2,387.07","2,539.90","1,549.00",396179,"945,708,468.55",
"02-Dec-2010","EQ","2,378.00","2,400.00","2,353.10","2,367.05","2,394.90","2,391.75","2,383.31","2,539.90","1,549.00",736928,"1,756,326,693.75",
"01-Dec-2010","EQ","2,288.55","2,375.00","2,280.00","2,285.40","2,365.00","2,367.05","2,339.77","2,539.90","1,549.00",804072,"1,881,342,947.40",
"30-Nov-2010","EQ","2,297.00","2,334.05","2,258.50","2,297.90","2,280.10","2,285.40","2,291.87","2,539.90","1,549.00",862678,"1,977,143,640.40",
"29-Nov-2010","EQ","2,300.00","2,317.90","2,285.00","2,297.90","2,300.00","2,297.90","2,304.99","2,539.90","1,549.00",590943,"1,362,117,812.00",
"26-Nov-2010","EQ","2,326.00","2,340.00","2,276.00","2,323.05","2,304.70","2,297.90","2,300.28","2,539.90","1,549.00",756969,"1,741,241,024.10",
"25-Nov-2010","EQ","2,325.00","2,358.70","2,292.25","2,311.40","2,339.40","2,323.05","2,329.52","2,539.90","1,549.00",1134387,"2,642,576,146.10",
"24-Nov-2010","EQ","2,354.00","2,373.90","2,289.95","2,371.80","2,327.00","2,311.40","2,334.82","2,539.90","1,549.00",412875,"963,988,330.95",
"23-Nov-2010","EQ","2,365.00","2,380.00","2,307.45","2,379.90","2,356.50","2,371.80","2,349.97","2,539.90","1,549.00",570812,"1,341,392,191.55",
"22-Nov-2010","EQ","2,321.00","2,390.95","2,306.00","2,303.60","2,380.00","2,379.90","2,354.05","2,539.90","1,549.00",551095,"1,297,305,532.80",
"19-Nov-2010","EQ","2,345.00","2,364.00","2,292.00","2,340.35","2,317.45","2,303.60","2,309.97","2,539.90","1,549.00",587634,"1,357,419,359.90",
"18-Nov-2010","EQ","2,419.00","2,419.00","2,318.75","2,372.60","2,337.10","2,340.35","2,350.23","2,539.90","1,549.00",831599,"1,954,447,254.45",
"16-Nov-2010","EQ","2,399.70","2,399.70","2,325.00","2,385.85","2,370.00","2,372.60","2,360.07","2,539.90","1,549.00",914967,"2,159,383,997.55",
"15-Nov-2010","EQ","2,315.00","2,392.00","2,314.00","2,314.90","2,390.00","2,385.85","2,361.51","2,539.90","1,549.00",1140798,"2,694,005,541.35",
"12-Nov-2010","EQ","2,345.00","2,379.00","2,305.00","2,353.30","2,309.50","2,314.90","2,338.07","2,539.90","1,549.00",620155,"1,449,968,518.65",
"11-Nov-2010","EQ","2,385.10","2,409.40","2,336.25","2,395.85","2,370.00","2,353.30","2,370.45","2,539.90","1,549.00",336437,"797,507,439.05",
"10-Nov-2010","EQ","2,400.00","2,419.80","2,383.35","2,398.50","2,393.25","2,395.85","2,400.21","2,539.90","1,549.00",446717,"1,072,216,623.90",
"09-Nov-2010","EQ","2,340.00","2,406.80","2,330.35","2,335.40","2,399.00","2,398.50","2,376.59","2,539.90","1,549.00",685805,"1,629,876,754.15",
"08-Nov-2010","EQ","2,393.40","2,400.00","2,325.45","2,393.40","2,337.00","2,335.40","2,355.13","2,539.90","1,549.00",425546,"1,002,217,834.55",
"05-Nov-2010","EQ","2,400.00","2,407.00","2,385.00","2,389.20","2,388.80","2,393.40","2,396.38","2,539.90","1,549.00",39254,"94,067,394.85",
"04-Nov-2010","EQ","2,390.00","2,405.00","2,367.55","2,362.25","2,389.00","2,389.20","2,390.61","2,539.90","1,549.00",485816,"1,161,395,115.45",
"03-Nov-2010","EQ","2,361.00","2,371.90","2,351.05","2,350.35","2,369.00","2,362.25","2,362.69","2,539.90","1,549.00",354076,"836,571,581.25",
"02-Nov-2010","EQ","2,365.00","2,387.00","2,343.00","2,349.20","2,355.00","2,350.35","2,365.48","2,539.90","1,549.00",556102,"1,315,446,337.95",
"01-Nov-2010","EQ","2,298.00","2,366.00","2,285.05","2,279.90","2,350.20","2,349.20","2,341.68","2,539.90","1,549.00",1013480,"2,373,241,303.80",
"29-Oct-2010","EQ","2,280.00","2,298.00","2,237.00","2,266.70","2,268.25","2,279.90","2,263.22","2,539.90","1,549.00",813243,"1,840,544,279.90",
"28-Oct-2010","EQ","2,256.50","2,315.85","2,241.00","2,254.30","2,286.00","2,266.70","2,275.19","2,539.90","1,549.00",2106923,"4,793,651,370.45",
"27-Oct-2010","EQ","2,306.00","2,306.00","2,240.40","2,301.40","2,245.90","2,254.30","2,271.09","2,539.90","1,549.00",822033,"1,866,914,572.50",
"26-Oct-2010","EQ","2,308.00","2,326.00","2,291.00","2,304.70","2,300.00","2,301.40","2,304.74","2,539.90","1,549.00",506972,"1,168,438,724.65",
"25-Oct-2010","EQ","2,336.00","2,367.50","2,299.00","2,326.65","2,302.25","2,304.70","2,320.33","2,539.90","1,549.00",862979,"2,002,393,389.00",
"22-Oct-2010","EQ","2,380.00","2,380.00","2,318.50","2,365.10","2,329.90","2,326.65","2,337.97","2,539.90","1,549.00",647519,"1,513,877,218.40",
"21-Oct-2010","EQ","2,330.05","2,374.80","2,316.65","2,335.55","2,356.00","2,365.10","2,358.48","2,539.90","1,549.00",729753,"1,721,110,796.20",
"20-Oct-2010","EQ","2,369.00","2,372.00","2,328.10","2,368.85","2,335.55","2,335.55","2,344.86","2,539.90","1,549.00",493023,"1,156,067,915.45",
"19-Oct-2010","EQ","2,423.00","2,423.00","2,358.55","2,398.45","2,361.10","2,368.85","2,397.11","2,539.90","1,549.00",832452,"1,995,476,060.80",
"18-Oct-2010","EQ","2,539.90","2,539.90","2,353.00","2,386.25","2,420.00","2,398.45","2,379.04","2,539.90","1,549.00",827510,"1,968,683,057.45",
"15-Oct-2010","EQ","2,424.40","2,442.75","2,379.95","2,424.35","2,385.00","2,386.25","2,403.73","2,522.60","1,549.00",586327,"1,409,372,505.70",
"14-Oct-2010","EQ","2,445.00","2,456.00","2,410.05","2,441.25","2,423.70","2,424.35","2,431.79","2,522.60","1,549.00",385363,"937,120,220.05",
"13-Oct-2010","EQ","2,385.00","2,450.00","2,367.00","2,380.30","2,435.00","2,441.25","2,423.96","2,522.60","1,549.00",1028670,"2,493,456,155.90",
"12-Oct-2010","EQ","2,398.05","2,400.00","2,339.55","2,388.50","2,383.00","2,380.30","2,360.08","2,522.60","1,549.00",780990,"1,843,202,299.20",
"11-Oct-2010","EQ","2,440.80","2,440.80","2,366.65","2,405.75","2,390.00","2,388.50","2,391.56","2,522.60","1,549.00",991002,"2,370,045,052.20",
"08-Oct-2010","EQ","2,435.15","2,448.00","2,390.00","2,433.55","2,412.30","2,405.75","2,405.98","2,522.60","1,549.00",745343,"1,793,278,878.05",
"07-Oct-2010","EQ","2,457.00","2,470.00","2,426.55","2,456.75","2,430.00","2,433.55","2,438.72","2,522.60","1,549.00",450642,"1,098,988,336.80",
