"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2004","EQ","521.00","525.15","517.10","524.25","518.50","520.35","521.21","529.95","256.15",108115,"56,350,971.10",
"30-Dec-2004","EQ","515.15","529.95","511.05","515.10","525.25","524.25","519.84","524.00","256.15",199639,"103,780,580.30",
"29-Dec-2004","EQ","520.10","524.00","510.15","518.70","511.00","515.10","516.54","520.00","256.15",152323,"78,681,129.55",
"28-Dec-2004","EQ","505.00","520.00","505.00","504.90","518.35","518.70","512.51","520.00","256.15",253389,"129,863,643.95",
"27-Dec-2004","EQ","505.00","507.00","497.25","502.45","507.00","504.90","502.97","520.00","256.15",158866,"79,904,860.15",
"24-Dec-2004","EQ","500.00","505.00","497.00","494.10","503.45","502.45","501.00","520.00","256.15",282533,"141,547,685.10",
"23-Dec-2004","EQ","499.90","500.00","488.00","493.20","499.00","494.10","492.87","520.00","256.15",282985,"139,474,914.90",
"22-Dec-2004","EQ","498.00","520.00","487.00","496.20","488.00","493.20","498.34","504.40","256.15",445764,"222,141,002.20",
"21-Dec-2004","EQ","495.00","497.00","490.55","492.45","496.95","496.20","494.27","504.40","256.15",479292,"236,901,193.05",
"20-Dec-2004","EQ","483.00","495.00","483.00","481.75","493.00","492.45","491.07","504.40","256.15",381817,"187,499,639.65",
"17-Dec-2004","EQ","486.00","487.60","475.55","481.80","482.85","481.75","482.00","504.40","256.15",282506,"136,167,675.65",
"16-Dec-2004","EQ","477.50","486.85","477.50","474.15","484.75","481.80","481.45","504.40","256.15",437489,"210,629,491.55",
"15-Dec-2004","EQ","475.50","480.00","472.00","475.15","475.05","474.15","476.21","504.40","256.15",344810,"164,202,695.85",
"14-Dec-2004","EQ","475.95","478.75","474.00","473.25","474.80","475.15","475.62","504.40","256.15",338782,"161,131,348.15",
"13-Dec-2004","EQ","470.00","476.60","469.00","466.90","473.05","473.25","472.88","504.40","256.15",978039,"462,495,826.80",
"10-Dec-2004","EQ","475.00","475.00","464.50","477.10","466.00","466.90","468.42","504.40","256.15",470292,"220,291,927.85",
"09-Dec-2004","EQ","479.80","480.00","475.00","471.40","477.00","477.10","477.45","504.40","256.15",333104,"159,039,674.15",
"08-Dec-2004","EQ","491.95","491.95","469.10","481.00","473.00","471.40","476.51","504.40","256.15",201712,"96,117,223.30",
"07-Dec-2004","EQ","479.00","483.85","479.00","476.60","481.95","481.00","480.51","504.40","256.15",527168,"253,310,888.65",
"06-Dec-2004","EQ","482.75","490.95","475.00","482.75","475.60","476.60","483.60","504.40","256.15",579607,"280,296,230.25",
"03-Dec-2004","EQ","490.00","495.00","477.20","488.40","478.55","482.75","487.16","504.40","256.15",583063,"284,045,815.30",
"02-Dec-2004","EQ","494.80","495.00","485.00","484.05","486.25","488.40","488.35","504.40","256.15",564240,"275,549,043.10",
"01-Dec-2004","EQ","499.10","502.00","481.65","496.70","483.00","484.05","488.21","504.40","256.15",467946,"228,454,648.95",
"30-Nov-2004","EQ","502.00","503.00","495.00","498.90","495.75","496.70","498.52","504.40","256.15",307919,"153,503,674.05",
"29-Nov-2004","EQ","486.25","504.40","429.20","499.10","499.95","498.90","498.75","502.00","256.15",269587,"134,456,419.15",
"25-Nov-2004","EQ","488.00","502.00","484.05","483.60","498.10","499.10","495.56","492.00","256.15",431967,"214,064,533.55",
"24-Nov-2004","EQ","487.00","487.00","481.30","487.30","482.15","483.60","483.87","492.00","256.15",183491,"88,786,629.25",
"23-Nov-2004","EQ","486.00","488.00","481.00","483.20","488.00","487.30","483.97","492.00","256.15",180651,"87,429,372.80",
"22-Nov-2004","EQ","484.85","485.95","470.35","482.85","484.30","483.20","477.85","492.00","256.15",522200,"249,531,741.55",
"19-Nov-2004","EQ","481.50","492.00","479.20","478.15","481.00","482.85","484.02","488.90","256.15",583978,"282,659,171.65",
"18-Nov-2004","EQ","485.00","486.00","474.00","482.70","477.50","478.15","479.04","488.90","256.15",506175,"242,477,568.75",
"17-Nov-2004","EQ","485.00","486.95","481.25","484.05","483.00","482.70","483.95","488.90","256.15",445483,"215,591,100.95",
"16-Nov-2004","EQ","470.00","488.90","468.50","467.95","484.60","484.05","475.65","477.00","256.15",548287,"260,792,619.70",
"12-Nov-2004","EQ","472.00","473.75","466.15","467.80","466.50","467.95","469.99","477.00","256.15",33593,"15,788,511.20",
"11-Nov-2004","EQ","471.30","474.95","465.25","473.40","469.00","467.80","470.30","477.00","256.15",254973,"119,914,649.05",
"10-Nov-2004","EQ","459.30","477.00","459.30","457.20","474.95","473.40","472.28","461.00","256.15",579934,"273,893,636.50",
"09-Nov-2004","EQ","455.10","461.00","448.00","452.15","456.55","457.20","453.42","453.95","256.15",382821,"173,579,460.60",
"08-Nov-2004","EQ","437.00","453.95","434.05","432.55","452.90","452.15","447.67","435.80","256.15",667538,"298,839,247.10",
"05-Nov-2004","EQ","429.50","435.80","426.90","425.05","432.55","432.55","432.85","434.00","256.15",247172,"106,987,247.05",
"04-Nov-2004","EQ","434.00","434.00","424.25","427.95","425.05","425.05","425.82","429.50","256.15",183492,"78,134,018.85",
"03-Nov-2004","EQ","421.25","429.50","421.25","420.75","428.15","427.95","427.20","425.00","256.15",418615,"178,832,283.95",
"02-Nov-2004","EQ","419.00","422.90","415.50","421.50","422.00","420.75","418.85","425.00","256.15",275550,"115,414,554.05",
"01-Nov-2004","EQ","423.00","423.00","416.20","415.10","417.50","421.50","420.79","425.00","256.15",551578,"232,100,855.70",
"29-Oct-2004","EQ","411.05","417.70","411.05","415.95","415.00","415.10","415.04","425.00","256.15",252122,"104,639,539.30",
"28-Oct-2004","EQ","422.30","425.00","413.65","417.30","416.00","415.95","418.16","423.00","256.15",438046,"183,175,389.30",
"27-Oct-2004","EQ","412.90","423.00","410.00","409.00","419.00","417.30","417.20","418.80","256.15",414834,"173,070,554.95",
"26-Oct-2004","EQ","407.00","412.25","403.65","409.75","409.95","409.00","409.42","418.80","256.15",145897,"59,733,771.30",
"25-Oct-2004","EQ","407.50","412.00","405.20","403.70","408.00","409.75","409.85","418.80","256.15",323804,"132,710,405.85",
"21-Oct-2004","EQ","411.90","411.90","400.25","410.90","402.95","403.70","405.03","418.80","256.15",282028,"114,229,503.80",
"20-Oct-2004","EQ","414.90","416.40","409.00","414.70","411.20","410.90","412.58","418.80","256.15",194931,"80,424,705.35",
"19-Oct-2004","EQ","409.00","416.85","408.60","408.95","413.85","414.70","412.24","418.80","256.15",402236,"165,817,856.40",
"18-Oct-2004","EQ","409.80","410.85","406.10","406.20","408.90","408.95","408.91","418.80","256.15",197057,"80,579,135.30",
"15-Oct-2004","EQ","407.00","407.90","401.40","400.30","407.00","406.20","404.98","418.80","256.15",239912,"97,158,610.40",
"14-Oct-2004","EQ","404.45","404.75","396.15","403.30","401.80","400.30","401.08","418.80","256.15",157384,"63,123,160.05",
"12-Oct-2004","EQ","408.50","408.90","401.15","408.90","401.15","403.30","403.94","418.80","256.15",91045,"36,776,897.70",
"11-Oct-2004","EQ","408.00","411.85","407.00","407.50","408.00","408.90","409.24","418.80","256.15",114477,"46,848,427.75",
"09-Oct-2004","EQ","411.80","411.80","406.10","409.75","406.10","407.50","408.69","418.80","256.15",10173,"4,157,587.85",
"08-Oct-2004","EQ","412.00","412.00","407.50","410.15","409.00","409.75","410.10","418.80","256.15",212553,"87,168,452.85",
"07-Oct-2004","EQ","416.95","416.95","405.50","412.10","410.95","410.15","410.03","418.80","256.15",143741,"58,937,649.15",
"06-Oct-2004","EQ","417.90","418.05","411.00","416.25","412.15","412.10","414.56","418.80","256.15",221115,"91,665,589.85",
"05-Oct-2004","EQ","417.00","418.70","413.80","416.10","415.00","416.25","416.31","418.80","256.15",350771,"146,028,819.70",
"04-Oct-2004","EQ","415.90","418.80","411.30","410.75","415.40","416.10","413.80","416.70","256.15",517465,"214,125,224.75",
"01-Oct-2004","EQ","409.80","414.20","405.30","402.00","410.00","410.75","410.94","416.70","256.15",675180,"277,458,305.30",
"30-Sep-2004","EQ","408.00","408.40","400.00","404.10","403.15","402.00","404.77","416.70","256.15",381244,"154,316,778.70",
"29-Sep-2004","EQ","396.25","410.00","396.25","405.10","404.95","404.10","403.92","416.70","256.15",475617,"192,110,056.85",
"28-Sep-2004","EQ","400.05","408.90","400.05","398.45","407.00","405.10","405.31","416.70","256.15",724611,"293,694,065.05",
"27-Sep-2004","EQ","405.00","406.00","394.70","404.65","398.55","398.45","401.19","416.70","256.15",734574,"294,702,309.00",
"24-Sep-2004","EQ","408.00","412.45","401.55","410.40","404.75","404.65","405.17","416.70","256.15",675734,"273,786,002.85",
"23-Sep-2004","EQ","412.00","416.70","408.20","412.20","409.75","410.40","413.27","414.75","256.15",540321,"223,298,708.95",
"22-Sep-2004","EQ","408.90","413.85","404.00","406.20","411.50","412.20","410.16","414.75","256.15",890248,"365,145,967.80",
"21-Sep-2004","EQ","414.75","414.75","401.50","405.05","405.30","406.20","407.98","410.00","256.15",486474,"198,473,863.40",
"20-Sep-2004","EQ","403.00","410.00","395.40","402.90","403.15","405.05","405.56","406.80","256.15",642275,"260,478,592.85",
"17-Sep-2004","EQ","393.00","406.80","393.00","395.45","401.25","402.90","401.67","406.75","256.15",621392,"249,592,302.30",
"16-Sep-2004","EQ","397.90","399.50","394.65","395.15","396.00","395.45","396.91","406.75","256.15",305714,"121,340,053.60",
"15-Sep-2004","EQ","393.40","400.70","392.05","391.30","393.95","395.15","396.43","406.75","256.15",791956,"313,955,888.15",
"14-Sep-2004","EQ","389.90","395.00","385.00","388.40","391.50","391.30","389.96","406.75","256.15",333071,"129,884,901.60",
"13-Sep-2004","EQ","385.00","395.00","384.00","389.60","387.65","388.40","389.68","406.75","256.15",398479,"155,279,496.00",
"10-Sep-2004","EQ","383.00","394.70","382.25","381.90","389.15","389.60","389.72","406.75","256.15",813822,"317,162,355.60",
"09-Sep-2004","EQ","399.00","403.40","378.50","394.05","381.85","381.90","387.21","406.75","256.15",1642372,"635,935,577.65",
"08-Sep-2004","EQ","382.10","400.35","372.00","381.80","398.90","394.05","387.91","406.75","256.15",1507364,"584,721,372.55",
"07-Sep-2004","EQ","379.80","385.00","375.60","377.15","382.65","381.80","381.38","406.75","256.15",350501,"133,673,766.70",
"06-Sep-2004","EQ","371.00","378.00","369.25","370.20","376.05","377.15","375.56","406.75","256.15",143894,"54,041,308.55",
"03-Sep-2004","EQ","371.50","372.65","368.05","370.90","370.00","370.20","369.87","406.75","256.15",108694,"40,202,938.00",
"02-Sep-2004","EQ","367.25","373.80","367.20","368.55","371.60","370.90","370.71","406.75","256.15",70570,"26,160,795.45",
"01-Sep-2004","EQ","368.00","370.25","366.20","367.65","368.50","368.55","368.47","406.75","256.15",106183,"39,125,213.65",
"31-Aug-2004","EQ","368.00","370.00","365.55","371.25","367.50","367.65","367.65","406.75","256.15",131559,"48,367,307.85",
"30-Aug-2004","EQ","370.00","373.85","368.00","369.50","370.20","371.25","370.58","406.75","256.15",58261,"21,590,338.15",
"27-Aug-2004","EQ","378.90","379.45","369.00","379.45","371.00","369.50","372.24","406.75","256.15",73503,"27,360,657.60",
"26-Aug-2004","EQ","374.90","381.90","372.10","374.75","376.25","379.45","376.45","406.75","256.15",264992,"99,756,454.55",
