"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Dec-2006","EQ","1,086.00","1,098.70","1,063.00","1,080.05","1,066.90","1,067.95","1,085.66","1,150.00","615.20",310989,"337,628,283.55",
"28-Dec-2006","EQ","1,065.00","1,088.00","1,057.10","1,059.70","1,082.00","1,080.05","1,074.95","1,150.00","615.20",452115,"486,002,044.55",
"27-Dec-2006","EQ","1,035.00","1,063.20","1,035.00","1,030.85","1,062.00","1,059.70","1,054.71","1,150.00","615.20",226047,"238,414,427.05",
"26-Dec-2006","EQ","1,014.90","1,034.80","1,004.00","1,005.80","1,033.95","1,030.85","1,023.11","1,150.00","615.20",189878,"194,266,861.60",
"22-Dec-2006","EQ","1,019.00","1,019.00","1,001.00","1,009.30","1,006.00","1,005.80","1,006.23","1,150.00","615.20",368641,"370,937,213.15",
"21-Dec-2006","EQ","1,019.90","1,028.70","1,000.00","1,020.70","1,010.00","1,009.30","1,012.25","1,150.00","615.20",421768,"426,934,984.45",
"20-Dec-2006","EQ","1,039.70","1,048.00","1,005.00","1,038.75","1,020.00","1,020.70","1,020.80","1,150.00","615.20",699132,"713,673,774.95",
"19-Dec-2006","EQ","1,073.00","1,073.00","1,027.35","1,066.70","1,030.00","1,038.75","1,043.42","1,150.00","615.20",518497,"541,011,458.60",
"18-Dec-2006","EQ","1,059.90","1,075.70","1,032.00","1,056.40","1,070.15","1,066.70","1,051.18","1,150.00","615.20",328311,"345,112,721.85",
"15-Dec-2006","EQ","1,061.00","1,074.90","1,050.05","1,045.75","1,050.05","1,056.40","1,060.85","1,150.00","615.20",307780,"326,509,306.30",
"14-Dec-2006","EQ","1,050.00","1,057.90","1,030.25","1,039.10","1,047.00","1,045.75","1,044.03","1,150.00","615.20",459879,"480,125,968.90",
"13-Dec-2006","EQ","1,034.90","1,070.00","1,010.30","1,028.15","1,050.00","1,039.10","1,042.59","1,150.00","615.20",435430,"453,976,243.95",
"12-Dec-2006","EQ","1,025.00","1,067.00","1,001.00","1,032.70","1,039.70","1,028.15","1,036.92","1,150.00","615.20",632358,"655,706,698.00",
"11-Dec-2006","EQ","1,089.50","1,089.50","991.25","1,085.85","1,029.50","1,032.70","1,026.87","1,150.00","615.20",666767,"684,680,501.55",
"08-Dec-2006","EQ","1,103.50","1,106.00","1,084.00","1,106.15","1,085.00","1,085.85","1,094.94","1,150.00","615.20",185050,"202,618,026.95",
"07-Dec-2006","EQ","1,097.70","1,114.90","1,088.00","1,087.25","1,103.00","1,106.15","1,102.21","1,150.00","615.20",306318,"337,627,799.25",
"06-Dec-2006","EQ","1,104.70","1,108.00","1,082.00","1,085.70","1,092.00","1,087.25","1,093.94","1,150.00","615.20",252556,"276,280,083.65",
"05-Dec-2006","EQ","1,105.95","1,120.00","1,080.05","1,100.35","1,086.00","1,085.70","1,098.51","1,150.00","615.20",273465,"300,403,400.60",
"04-Dec-2006","EQ","1,123.00","1,134.00","1,098.10","1,123.70","1,100.65","1,100.35","1,104.43","1,150.00","615.20",319799,"353,194,524.30",
"01-Dec-2006","EQ","1,125.00","1,134.80","1,115.30","1,121.80","1,118.70","1,123.70","1,129.16","1,150.00","615.20",457185,"516,235,369.95",
"30-Nov-2006","EQ","1,094.10","1,126.40","1,094.10","1,087.35","1,123.90","1,121.80","1,119.53","1,150.00","615.20",917802,"1,027,506,523.75",
"29-Nov-2006","EQ","1,081.00","1,104.70","1,080.00","1,087.20","1,090.00","1,087.35","1,093.98","1,150.00","615.20",387289,"423,686,089.25",
"28-Nov-2006","EQ","1,105.00","1,109.00","1,081.75","1,110.95","1,083.00","1,087.20","1,096.72","1,150.00","615.20",232284,"254,749,822.50",
"27-Nov-2006","EQ","1,086.25","1,118.60","1,060.25","1,106.00","1,109.05","1,110.95","1,111.71","1,150.00","615.20",115843,"128,783,773.45",
"24-Nov-2006","EQ","1,115.00","1,126.90","1,098.00","1,113.05","1,109.00","1,106.00","1,112.49","1,150.00","615.20",444752,"494,784,255.10",
"23-Nov-2006","EQ","1,098.00","1,122.60","1,080.00","1,077.50","1,117.00","1,113.05","1,098.90","1,150.00","615.20",350569,"385,239,914.00",
"22-Nov-2006","EQ","1,104.00","1,104.55","1,065.05","1,092.40","1,076.10","1,077.50","1,090.54","1,150.00","615.20",877330,"956,767,523.45",
"21-Nov-2006","EQ","1,088.70","1,113.00","1,070.00","1,086.50","1,094.70","1,092.40","1,090.45","1,150.00","615.20",623072,"679,428,390.05",
"20-Nov-2006","EQ","1,116.00","1,119.80","1,068.00","1,126.55","1,086.00","1,086.50","1,092.18","1,150.00","615.20",737328,"805,297,687.90",
"17-Nov-2006","EQ","1,147.00","1,148.70","1,118.05","1,144.35","1,124.00","1,126.55","1,132.02","1,150.00","615.20",867712,"982,270,806.45",
"16-Nov-2006","EQ","1,089.00","1,150.00","1,079.90","1,076.45","1,149.70","1,144.35","1,126.03","1,150.00","615.20",1789927,"2,015,517,201.75",
"15-Nov-2006","EQ","1,070.00","1,080.00","1,066.00","1,065.65","1,073.10","1,076.45","1,074.66","1,080.00","615.20",836654,"899,118,583.15",
"14-Nov-2006","EQ","1,059.70","1,074.75","1,040.25","1,055.80","1,063.00","1,065.65","1,060.00","1,074.75","615.20",567768,"601,836,745.25",
"13-Nov-2006","EQ","1,049.85","1,065.00","1,045.50","1,044.50","1,056.55","1,055.80","1,055.67","1,065.00","615.20",402913,"425,342,507.30",
"10-Nov-2006","EQ","1,027.40","1,050.00","1,020.00","1,017.80","1,042.00","1,044.50","1,040.67","1,064.95","615.20",630788,"656,439,484.35",
"09-Nov-2006","EQ","1,006.00","1,022.80","1,005.00","1,002.60","1,019.40","1,017.80","1,012.84","1,064.95","615.20",334922,"339,220,756.05",
"08-Nov-2006","EQ","999.45","1,011.80","985.15","994.85","1,000.05","1,002.60","997.72","1,064.95","615.20",472178,"471,100,515.60",
"07-Nov-2006","EQ","1,005.00","1,019.70","992.00","998.90","995.00","994.85","1,002.21","1,064.95","615.20",276727,"277,338,819.20",
"06-Nov-2006","EQ","1,010.00","1,010.70","995.30","1,001.55","998.10","998.90","1,000.50","1,064.95","615.20",111156,"111,211,058.90",
"03-Nov-2006","EQ","1,006.75","1,012.00","996.00","1,010.55","1,002.15","1,001.55","1,002.82","1,064.95","604.00",216088,"216,696,856.70",
"02-Nov-2006","EQ","996.00","1,017.90","986.00","998.95","1,011.50","1,010.55","1,008.69","1,064.95","604.00",282094,"284,545,525.45",
"01-Nov-2006","EQ","1,014.40","1,018.00","994.20","1,004.60","997.85","998.95","1,004.34","1,064.95","604.00",204763,"205,651,020.25",
"31-Oct-2006","EQ","1,037.90","1,037.90","1,001.00","1,029.35","1,002.70","1,004.60","1,012.30","1,064.95","604.00",433773,"439,109,071.65",
"30-Oct-2006","EQ","990.30","1,037.00","979.30","999.30","1,037.00","1,029.35","1,012.02","1,064.95","604.00",494409,"500,353,232.45",
"27-Oct-2006","EQ","1,005.00","1,013.00","992.20","999.80","995.00","999.30","1,002.63","1,064.95","603.00",453083,"454,275,006.35",
"26-Oct-2006","EQ","965.00","1,005.00","965.00","969.50","998.00","999.80","992.71","1,064.95","603.00",1105749,"1,097,693,314.55",
