"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2013","EQ","682.10","685.10","679.65","678.60","683.60","684.50","682.68","705.50","419.50",1007303,"687,665,566.45",16186
"31-Dec-2012","EQ","677.00","680.00","674.00","677.65","678.10","678.60","676.84","705.50","419.50",1276822,"864,198,173.20",20101
"28-Dec-2012","EQ","681.10","683.00","674.15","680.10","676.20","677.65","677.47","705.50","419.50",1756066,"1,189,688,331.20",27129
"27-Dec-2012","EQ","684.00","684.00","676.70","680.30","682.00","680.10","679.29","705.50","419.50",2464542,"1,674,149,008.55",24738
"26-Dec-2012","EQ","678.10","684.85","673.10","676.10","680.00","680.30","680.06","705.50","419.50",1430804,"973,034,786.15",26981
"24-Dec-2012","EQ","680.00","680.15","671.80","676.00","677.00","676.10","674.88","705.50","419.50",1370563,"924,965,693.00",31145
"21-Dec-2012","EQ","681.00","682.00","674.05","683.40","676.15","676.00","676.79","705.50","400.25",2771561,"1,875,751,130.40",73271
"20-Dec-2012","EQ","686.00","687.00","680.25","688.00","682.95","683.40","682.86","705.50","400.25",2565187,"1,751,657,535.90",69871
"19-Dec-2012","EQ","674.55","689.25","674.50","675.95","687.70","688.00","683.69","705.50","400.25",4122253,"2,818,348,437.50",83044
"18-Dec-2012","EQ","677.95","682.20","669.75","676.50","676.00","675.95","675.85","705.50","400.25",3343768,"2,259,873,141.50",77136
"17-Dec-2012","EQ","687.90","687.90","673.60","688.75","677.70","676.50","678.69","705.50","400.25",3057553,"2,075,137,556.15",66201
"14-Dec-2012","EQ","690.05","694.40","685.35","691.05","688.85","688.75","689.43","705.50","400.25",2093473,"1,443,308,564.65",95946
"13-Dec-2012","EQ","693.85","696.00","689.00","693.85","690.55","691.05","693.04","705.50","400.25",1570808,"1,088,628,195.50",35988
"12-Dec-2012","EQ","691.25","696.00","688.50","690.85","693.70","693.85","692.64","705.50","400.25",1934126,"1,339,654,532.35",51308
"11-Dec-2012","EQ","695.25","699.00","686.30","693.00","690.75","690.85","693.29","705.50","400.25",3375138,"2,339,965,118.10",56253
