"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2015","EQ","951.00","954.40","945.05","951.60","952.30","952.05","949.13","973.95","616.80",886235,"841,151,918.05",12603
"31-Dec-2014","EQ","956.00","957.30","949.75","956.45","950.90","951.60","951.92","973.95","616.80",1248132,"1,188,118,820.55",17706
"30-Dec-2014","EQ","950.00","959.60","942.75","951.70","955.20","956.45","951.15","973.95","616.80",1420300,"1,350,924,907.90",19515
"29-Dec-2014","EQ","950.10","956.00","948.30","948.65","948.50","951.70","952.05","973.95","616.80",903700,"860,371,093.85",12326
"26-Dec-2014","EQ","950.40","952.95","942.55","945.25","949.30","948.65","948.85","973.95","616.80",841620,"798,567,068.30",27171
"24-Dec-2014","EQ","957.90","964.80","941.10","959.75","946.50","945.25","949.10","973.95","616.80",4166203,"3,954,132,036.95",38386
"23-Dec-2014","EQ","959.70","973.95","955.35","963.70","960.00","959.75","964.96","973.95","616.80",1886020,"1,819,930,435.35",26751
"22-Dec-2014","EQ","954.00","966.10","942.50","941.45","965.35","963.70","952.83","966.10","616.80",2073903,"1,976,071,724.50",33097
"19-Dec-2014","EQ","945.05","949.00","932.50","934.05","943.00","941.45","941.27","965.90","616.80",1528527,"1,438,750,575.70",25080
"18-Dec-2014","EQ","932.60","936.50","922.05","921.85","934.00","934.05","929.15","965.90","616.80",1623457,"1,508,432,197.00",63379
"17-Dec-2014","EQ","926.00","932.50","916.00","925.75","919.00","921.85","921.16","965.90","616.80",1766004,"1,626,773,388.55",29232
"16-Dec-2014","EQ","937.55","942.00","917.00","941.50","928.00","925.75","928.05","965.90","616.80",1247489,"1,157,731,721.85",22916
"15-Dec-2014","EQ","930.00","944.30","928.00","931.50","942.25","941.50","938.78","965.90","616.80",1659657,"1,558,045,447.10",26589
"12-Dec-2014","EQ","933.00","936.20","929.00","933.60","932.10","931.50","932.27","965.90","616.80",1154207,"1,076,033,768.50",42368
"11-Dec-2014","EQ","929.90","935.75","925.00","931.40","933.50","933.60","930.02","965.90","616.80",1204711,"1,120,403,292.70",20635
"10-Dec-2014","EQ","926.10","935.00","925.30","926.75","932.35","931.40","929.97","965.90","616.80",1391358,"1,293,921,584.10",34011
"09-Dec-2014","EQ","925.05","935.00","925.05","927.15","927.70","926.75","929.61","965.90","616.80",1218336,"1,132,578,376.30",25118
"08-Dec-2014","EQ","945.00","945.00","925.00","942.75","927.80","927.15","935.19","965.90","616.80",1014282,"948,547,738.90",22837
"05-Dec-2014","EQ","941.00","944.40","935.70","941.40","942.00","942.75","939.67","965.90","616.80",1018545,"957,094,899.75",16965
"04-Dec-2014","EQ","940.00","944.25","932.00","933.10","941.35","941.40","937.19","965.90","616.80",1709776,"1,602,379,177.80",35647
"03-Dec-2014","EQ","942.00","944.05","932.00","943.30","932.50","933.10","937.18","965.90","616.80",1665296,"1,560,677,388.25",37465
"02-Dec-2014","EQ","941.75","949.60","939.20","950.00","942.00","943.30","943.71","965.90","616.80",1129389,"1,065,818,266.50",17017
"01-Dec-2014","EQ","958.30","962.45","948.20","957.15","950.05","950.00","954.07","965.90","616.80",1847282,"1,762,439,671.25",34375
"28-Nov-2014","EQ","948.00","965.90","947.00","948.15","955.00","957.15","958.80","965.90","616.80",2312965,"2,217,678,609.30",30875
"27-Nov-2014","EQ","950.60","953.80","943.00","951.30","946.15","948.15","948.09","959.90","616.80",3302862,"3,131,404,398.15",26899
"26-Nov-2014","EQ","939.80","959.90","933.30","953.55","949.50","951.30","950.16","959.90","616.80",2244107,"2,132,271,081.30",35420
