"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2009","EQ","996.00","1,019.80","996.00","998.35","1,014.15","1,013.75","1,010.33","1,825.00","791.55",528750,"534,214,525.85",
"31-Dec-2008","EQ","1,032.00","1,032.00","988.45","1,019.00","995.90","998.35","1,011.30","1,825.00","791.55",1039337,"1,051,078,496.90",
"30-Dec-2008","EQ","999.05","1,034.30","995.30","1,002.35","1,015.10","1,019.00","1,018.95","1,825.00","791.55",1885538,"1,921,263,223.15",
"29-Dec-2008","EQ","956.40","1,010.00","956.00","972.80","992.00","1,002.35","982.69","1,825.00","791.55",1303029,"1,280,468,731.40",
"26-Dec-2008","EQ","995.00","1,019.90","966.00","984.20","979.40","972.80","991.96","1,825.00","791.55",838857,"832,109,090.40",
"24-Dec-2008","EQ","994.40","1,000.00","942.00","979.80","999.25","984.20","965.28","1,825.00","791.55",1354874,"1,307,836,673.75",
"23-Dec-2008","EQ","1,012.00","1,018.00","973.15","1,018.50","978.35","979.80","994.77","1,825.00","791.55",1316943,"1,310,055,868.20",
"22-Dec-2008","EQ","1,052.00","1,065.00","1,008.00","1,052.10","1,020.25","1,018.50","1,039.35","1,825.00","791.55",1194269,"1,241,265,615.85",
"19-Dec-2008","EQ","1,051.00","1,084.35","1,032.60","1,058.65","1,050.00","1,052.10","1,057.28","1,825.00","791.55",2029169,"2,145,408,905.80",
"18-Dec-2008","EQ","998.10","1,069.90","993.00","1,002.20","1,051.60","1,058.65","1,031.57","1,825.00","791.55",1985265,"2,047,937,905.95",
"17-Dec-2008","EQ","1,003.20","1,020.00","988.00","984.95","1,003.00","1,002.20","1,000.67","1,825.00","791.55",2579839,"2,581,574,402.30",
"16-Dec-2008","EQ","937.00","999.00","932.30","944.25","995.00","984.95","957.92","1,825.00","791.55",1893925,"1,814,226,274.05",
"15-Dec-2008","EQ","935.15","958.70","925.00","919.95","937.50","944.25","947.82","1,825.00","791.55",1535339,"1,455,218,405.10",
"12-Dec-2008","EQ","905.00","930.00","876.00","918.55","922.85","919.95","903.82","1,825.00","791.55",1607552,"1,452,941,341.15",
"11-Dec-2008","EQ","925.00","949.00","902.15","923.75","912.10","918.55","927.71","1,825.00","791.55",2232919,"2,071,499,429.75",
"10-Dec-2008","EQ","903.00","939.95","903.00","898.00","920.00","923.75","921.67","1,825.00","791.55",3229937,"2,976,933,649.35",
"08-Dec-2008","EQ","924.45","954.00","882.10","890.30","900.00","898.00","930.65","1,825.00","791.55",2464332,"2,293,442,719.55",
"05-Dec-2008","EQ","920.00","936.00","865.00","911.95","900.00","890.30","907.49","1,825.00","791.55",1992039,"1,807,749,019.80",
"04-Dec-2008","EQ","872.00","918.70","872.00","880.40","911.00","911.95","900.94","1,825.00","791.55",1789549,"1,612,283,573.75",
"03-Dec-2008","EQ","902.00","902.00","861.10","885.90","872.30","880.40","880.47","1,825.00","791.55",1971726,"1,736,054,992.80",
"02-Dec-2008","EQ","879.95","894.75","845.10","898.85","884.05","885.90","865.76","1,825.00","791.55",1736484,"1,503,373,539.40",
"01-Dec-2008","EQ","925.00","970.00","890.00","922.75","893.00","898.85","939.24","1,825.00","791.55",2147850,"2,017,347,635.00",
